Date,Time,BMS- Power,MPSA- Ouput P,Load MFM- Active Power,BMS- State of Charge,DG MFM- Active Power,Irradiation,Solar MFM- Active Power
10-11-2024,06:58:31,0,0,0,8,11,26.4,-0.1
10-11-2024,06:59:01,0,0,0,8,11,27.5,-0.1
10-11-2024,06:59:31,0,0,0,8,11,27.5,-0.1
10-11-2024,07:00:01,0,0,0,8,11,28.6,-0.1
10-11-2024,07:00:31,0,0,0,8,11,28.6,-0.1
10-11-2024,07:01:01,0,0,0,8,12.9,30,-0.1
10-11-2024,07:01:31,0,0,0,8,12.9,30,-0.1
10-11-2024,07:02:01,2,0.3,0,8,12.9,32.4,0
10-11-2024,07:02:31,2,0.3,0,8,12.9,32.4,0
10-11-2024,07:03:01,2,0.3,0,8,12.9,33.5,0
10-11-2024,07:03:31,2,0.3,0,8,12.9,33.5,0
10-11-2024,07:04:01,-8,-12.7,0,8,12.8,35.1,12.8
10-11-2024,07:04:31,-8,-12.7,0,8,12.8,35.1,12.8
10-11-2024,07:05:01,-10,-13.5,0,8,12.8,36.5,13.5
10-11-2024,07:05:31,-10,-13.5,0,8,12.8,36.5,13.5
10-11-2024,07:06:01,-10,-14.1,0,8,11,37.8,14.1
10-11-2024,07:06:31,-10,-14.1,0,8,11,37.8,14.1
10-11-2024,07:07:01,-12,-14.4,0,8,11.1,38.6,14.6
10-11-2024,07:07:31,-11,-14.4,0,8,11.1,38.6,14.6
10-11-2024,07:08:01,-12,-14.6,0,8,11,39.2,14.7
10-11-2024,07:08:31,-11,-14.6,0,8,11,39.2,14.7
10-11-2024,07:09:01,-11,-15,0,9,11,40.2,15.2
10-11-2024,07:09:31,-11,-15,0,9,11,40.2,15.2
10-11-2024,07:10:01,-12,-15.6,0,9,11,41.1,15.5
10-11-2024,07:10:31,-12,-15.6,0,9,11.1,41.1,15.5
10-11-2024,07:11:01,-12,-16.3,0,9,11,44.5,16.5
10-11-2024,07:11:31,-12,-16.3,0,9,11,44.5,16.5
10-11-2024,07:12:01,-13,-17.3,0,9,11.1,46.6,17.2
10-11-2024,07:12:31,-13,-17.3,0,9,11.1,46.6,17.2
10-11-2024,07:13:01,-14,-18.4,0,9,11,49.2,17.9
10-11-2024,07:13:31,-14,-18.4,0,9,11,49.2,17.9
10-11-2024,07:14:01,-17,-19.7,0,9,11,51.7,19.7
10-11-2024,07:14:31,-17,-19.7,0,9,11,51.7,19.7
10-11-2024,07:15:01,-17,-20.7,0,9,11,56,20.5
10-11-2024,07:15:31,-17,-20.7,0,9,11,56,20.5
10-11-2024,07:16:01,-19,-21.7,0,9,11.6,58.4,22
10-11-2024,07:16:31,-19,-21.7,0,9,11.6,58.4,22
